"","Mono","CD4 T","CD8 T","NK","B","other T","other","DC"
"BOB16273_2",5.82172562548063e-06,0.00290656320841834,7.23289641907093e-06,0.0638243673730609,0.0471942547415076,0.0112993063501601,0.85907209411209,0.0156903595927177
"BOB16300_2",2.75435267768996e-06,4.66437646583369e-06,2.68632266272058e-06,0.0966559476657598,0.0831032110265464,0.0804760307435364,0.731510198395347,0.00824450711700351
"BOB16346_2",0.246448563968802,1.71986943568482e-05,0.0446871411032396,0.0168755710811667,0.0711205742512911,0.156790200403515,0.450799358703386,0.0132613917942428
"BOB16450_2",0.667369791305808,2.98044810914365e-06,2.76754544050161e-06,0.0271371879120795,0.0223101242699781,0.0385623681804345,0.244613487366744,1.29297140659343e-06
"BOB16460_2",0.141081619911637,3.11213355764481e-06,3.1823656500709e-06,0.0911112883135479,0.0192617144395718,0.0143960102377403,0.726564825005211,0.00757824759308476
"BOB17012_4",0.202939911022636,0.0903070521791729,0.263993619481697,8.80306312496139e-06,0.0274093375365674,6.95924461870583e-06,0.412522145741055,0.00281217173112766
"BOB17103_4",0.388802540520267,0.00161787426335225,0.000177580880804653,0.0446511319607525,0.0323554679785093,0.0928475521570129,0.432981186787538,0.00656666545176271
"BOB17208_2",2.93654912910777e-06,0.0118111954115773,0.00459659949349637,0.0857839579824391,0.0902245946781245,0.102143997188891,0.696686918884981,0.00874979981136041
"BOB17448_2",1.41967276163226e-06,1.20127322780915e-05,8.85534750056708e-06,0.0956456814541487,0.0211485857664784,0.0361551103306999,0.842212189564769,0.00481614513136314
"BOB17481_4",2.06286771325299e-05,6.53535846312016e-06,3.4155334218779e-06,0.0306881040246269,0.013469726038246,5.73948865702166e-06,0.955204843156972,0.000601007722480307
"BOB17502_4",4.55950423821055e-06,7.41011362566969e-05,0.211217281674736,0.0429293472273284,0.0839675463159007,0.0899055585111275,0.559839692748754,0.0120619128816581
"BOB176892_2",0.00193005639095394,0.000542127801226241,1.02717747227508e-05,0.0581260279788044,0.0207007470187682,0.0117245769330563,0.898068394937404,0.00889779716506462
"BOB17704_2",2.53453692871983e-06,0.00348442581196205,8.76453569997225e-06,0.121106704279784,0.0383145609030548,0.0944624907160641,0.721857684256002,0.0207628349605044
"BOB17730_4",0.1788875721471,0.0154630476183004,7.3602252281888e-06,0.0383477783805003,0.0423580655149819,0.0463884209289471,0.675829762750815,0.00271799243412682
"BOB17932_2",0.00134745022507984,2.55351937084626e-05,3.20847183070731e-06,0.0725333830017055,0.0236541621219522,0.0394509930364239,0.85118646744517,0.0117988005041303
"BOB18535_2",0.0625353178228376,0.056141513936216,0.00215687879980841,0.0592857466977977,0.1176407670965,0.126409050359015,0.56445334037357,0.0113773849142555
"BOB18762_4",0.265729684375601,3.59108712078271e-05,0.262426376105909,0.0302503571016983,0.0682184782198681,0.0569812003352057,0.302255362175316,0.0141026308151943
"BOB200148_2",0.00376778992695384,1.30514093394822e-06,1.47699855317997e-06,0.038618926408702,7.10202505314951e-05,2.8886377267916e-06,0.951944053427095,0.00559253920950424
"BOB20101_4",0.0003036387504633,3.64286611381946e-06,2.3052756421714e-06,0.0500791974834421,0.0185945210134902,5.63866642074682e-06,0.922456573458432,0.00855448248599551
"BOB20533WB_2",0.0352743107439497,0.0241341488155951,0.000327558652427689,0.0438399656647586,0.0398030524148983,0.0016105689040323,0.850537976502984,0.00447241830135409
"BOB20722WB_2",0.0444867800880336,0.0623818377950543,0.191050334338308,0.0344545079696833,0.0750119242877796,0.0202289311363847,0.562678209892321,0.00970747449243575
"BOB20812WB_1",2.68002466951052e-06,4.05017776080162e-05,1.98552742725033e-06,0.0548284814306675,0.0227310438371745,9.10286190242227e-06,0.915229539116801,0.00715666542375041
"BOB21170WB_1",0.177541734614845,0.215529319034345,0.205980676408633,0.00917892808322027,0.0573408375088924,5.01858198907548e-06,0.324309747969349,0.0101137377987262
"BOB21287WB_1",1.25676852983707e-06,0.047744449046753,0.0129348128734311,0.0824010612384284,0.0300852186617025,0.0648682601959528,0.751358720754095,0.0106062204611073
"BOB21321WB_2",0.0696918069628398,0.0747414638342592,1.1474482861734e-05,0.0442262236710246,0.0542229769570751,9.45277840810359e-06,0.753287259777155,0.00380934153637538
"BOB21401WB_1",0.208450194678374,4.94845549757513e-06,0.0873343120518097,0.00821305072935819,0.121905635203178,0.121391495871599,0.424532658231262,0.0281677047789212
"BOB21581WB_1",1.19061187249433e-06,1.12092950521802e-05,5.29783786963221e-06,0.044981271575646,0.0244776679340144,1.22409019477966e-05,0.920239889896634,0.0102712319469632
"BOB21695WB_1",0.32372405589821,0.102363426744556,7.90194455473863e-05,0.0162862589250284,0.0205141607306578,1.37789340341239e-06,0.537027857933944,3.84242865286305e-06
"BOB22048WB_1",1.33965009898413e-06,1.33649179967946e-06,8.34454727806635e-07,0.0104194411984628,3.53372689649079e-06,1.34479661707885e-06,0.989525452409321,4.671727207603e-05
"BOB22190WB_1",0.0567074872691355,0.268556413351546,3.03885210021567e-05,0.0598704824484234,0.135069827345897,3.20466889151186e-05,0.476283661435399,0.00344969293968255
"BOB22461WB_1",0.203603680473587,5.28813484869381e-06,0.0494710352474528,0.0112701970575825,0.091169838838401,0.0650065085917223,0.573233601741338,0.00623984991506782
"BOB22543WB_2",0.23030182173456,2.61624224621203e-06,7.14578812631396e-06,0.0205087622527709,0.00691015253120793,5.73106346162345e-06,0.737490223502718,0.00477354688490886
"BOB22600WB_1",4.2428593909881e-05,2.60386123290643e-06,0.00131498582786611,7.37636753796764e-06,0.818287616539094,0.012630274099804,0.150104083735057,0.017610630975498
"BOB22606WB_1",0.0135510794574181,0.0675692674765885,0.0012320468952984,0.0742049335379784,0.102625115184876,0.104305780924094,0.621254238456059,0.0152575380676876
"BOB22745WB_1",0.183275012778781,1.22748382564634e-06,1.30651747084507e-06,0.0102798685651823,2.66454832843137e-06,1.5462068446175e-06,0.806434207525295,4.16637427209125e-06
"BOB23664WB_2",0.125546767283656,0.000471510955216169,4.13371414374773e-05,0.0468779406087112,0.0468483348382224,0.107213289363632,0.669853109392213,0.00314771041691093
"BOB23838WB_1",0.0397452356659161,0.0010651938694623,0.184764299111851,0.0236152500362843,0.0415509244761158,0.00178564875844366,0.701569639334797,0.00590380874712993
"BOB23854WB_1",0.11887232691215,2.3081718524216e-05,0.468949082381484,0.00496063738125627,0.0826486993077906,3.92990905275313e-06,0.310064547973087,0.0144776944166567
"BOB23865WB_1",0.171737989337437,0.00466817452480515,0.103497859731004,0.025750495527932,0.0565475987430928,0.0969774339788449,0.529627866657751,0.0111925814991337
"BOB23984WB_1",0.113259206136833,0.000161958394147358,1.57658096738491e-05,0.0663189579404622,0.0631883270489969,0.051499609328686,0.69353588523025,0.0120202901109497
"BOB24000WB_1",0.0223457954596153,0.00490003709132728,0.0367356238598512,0.0528476103195135,0.0689716379525777,0.0769473561463637,0.716705687665712,0.0205462515050389
"BOB24060WB_1",0.385756517149125,2.1984703252872e-05,0.0242853364922349,0.00976430045346713,0.0465688233405612,0.113904315076821,0.416135471621935,0.00356325116260247
"BOB25183WB_1",6.61639469777218e-07,1.6364385212448e-06,1.29786497071353e-06,0.0398653122875684,0.0206578034647301,1.20594110184079e-06,0.937360551528612,0.00211153083502652
"BOB25569WB_1",0.146179472638496,0.00669897030104465,0.297556796788319,0.00740011573233,0.0593818271264258,4.94976503847333e-06,0.476862067181739,0.00591580046660767
"BOB25601WB_1",0.288837361904495,0.000116644387267027,0.0737836172702531,0.0283085843494628,0.0661821771594607,0.071187091865573,0.459258648786611,0.0123258742768774
"BOB25995WB_1",2.48500428954629e-05,0.0143927327366395,0.075985866910504,0.0346522903894158,0.0445810404316947,3.364601588059e-06,0.8188230293496,0.0115368255376624
"BOB26524WB_1",0.0923682597024859,1.32563361127536e-06,1.12875903823295e-06,0.0122454961951117,0.00573316711861091,1.00869869262044e-06,0.889497768540135,0.000151845352314803
"BOB26804WB_1",0.307934468317491,0.0810235035252674,0.00023071054732788,0.0340736093477368,0.0925726857793646,0.0453603438041888,0.437405717519399,0.00139896115922426
"BOB27302WB_1",0.407361915893157,0.114849723440861,1.9325119773663e-05,0.0420744395400621,0.0324399936576581,0.0436440695485369,0.35748956344278,0.00212096935717123
"BOB27710WB_1",0.401667266456582,0.023343681682758,9.31817426970255e-05,0.0361797433229776,0.0879364337173755,0.00867940105852771,0.440340619902782,0.00175967211629983
"BOB2888_1_2",8.48137295286124e-06,9.39238113619088e-07,1.20133993481929e-06,0.0211206958842436,0.00369963815351598,1.59717687612325e-06,0.970466839814231,0.00470060702013222
"BOB29024WB_1",0.0995810058917735,6.66864679815609e-06,6.22272953310782e-06,0.0306278532363227,0.0177339710299276,4.1372829017992e-06,0.850608732144905,0.00143140903783903
"BOB43089BC_1",0.422296451722386,3.15510761376457e-06,0.187740576025606,0.00012694141970532,0.137171789327675,0.198215196669439,0.0509024024886894,0.00354348723888458
"BOB8905_2",0.0596262708919943,0.0350478265490994,0.0437166843598725,0.0618647935735343,0.123405050535211,0.130457460030138,0.532526882761343,0.0133550312988072
"BOB8916_3",0.351677172742105,3.26812707142189e-06,8.54558466308748e-06,0.0319901255778227,0.0118464753915286,0.19352239993054,0.403259528775908,0.00769248387036105
"BOB8927_2",0.172790941643452,4.14789378143389e-05,0.0302788383384435,0.0598646904218373,0.120543903373646,0.199707823259216,0.407632756505994,0.00913956751959649
"BOB9084_2",3.49054760433167e-05,7.49009016575561e-06,0.200048977301152,0.0370106126536296,0.139020439522219,0.0917978415994189,0.514379802490345,0.0176999308670261
"BOB9135_3",0.241678472928774,5.4015236226281e-06,0.266098778875233,1.35994793741343e-05,0.0937758985310013,0.236068388597051,0.136561078800403,0.0257983812645409
"BOB9205_2",0.0513264671303787,0.00836245274256513,0.0194709911237716,0.0559722410167516,0.0876732507091269,0.0722360797365647,0.692021219011339,0.0129372985295029
"BOB9211_3",3.90033510673341e-07,6.70012006479449e-07,6.85321036042551e-07,0.0247579251057277,1.53405864292692e-06,8.43596913343657e-07,0.975236193291987,1.7585801748043e-06
"BOB9262_2",7.89522144847179e-07,0.0158138748559498,0.00558587806049704,0.0506569279779532,0.0642744822205358,0.0947315857551526,0.765873089197166,0.00306337241060038
"BOB9475_2",8.98623038101668e-07,0.0175259452197156,0.00888605340637863,0.0657914009015656,0.0683121696973024,0.0392741605437962,0.799317593844505,0.000891777763698107
