,BOB12371,BOB12540,BOB16124,BOB17103,BOB17481,BOB18762,BOB20101,BOB20533,BOB20722,BOB21170,BOB21321,BOB21695,BOB23664,BOB23984,BOB25183,BOB26804,BOB27302,BOB28258
7SK,0,1.162118,2.056125,1.008361,1.063009,0,1.411654,0.881509,1.253108,0.723992,0.758728,0.824142,0.814949,3.016701,0,2.192629,0,1.176196
A1BG,8.345882,5.153782,5.210311,13.664304,2.892635,6.104452,2.585808,7.957996,2.737425,23.376378,11.246658,14.888001,3.52908,0.121689,7.140426,2.841489,5.734183,1.497353
A1BG-AS1,2.154645,3.077343,0.492447,7.571407,4.710593,1.946402,3.002073,1.535784,2.594102,0.532611,5.108313,3.580085,1.799925,5.853057,4.064216,4.396685,2.168244,4.639357
A2M,427.743584,425.682452,359.635368,292.475227,474.391451,415.943192,347.996005,536.278872,289.293704,627.290614,420.409542,339.413872,233.206785,304.604755,419.587242,359.36459,221.569359,463.756534
A2M-AS1,3.306306,4.364809,0.477019,1.918051,1.363957,0.880267,2.536313,1.669785,2.50141,1.508572,0.780904,0.316543,0.412703,1.181778,0.688858,1.383268,0.289502,1.3882
A2ML1,2.566039,0,0,0.073266,0.116817,0.074401,0,0,7.209781,3.366456,0.790807,0,2.506166,0,0.508468,0.825619,0,0
A4GALT,3.235064,8.437519,2.955638,7.482768,9.524018,8.393981,7.75338,20.809003,6.326404,6.893473,12.539103,28.958598,1.367642,4.394008,9.042882,11.116599,7.415918,22.923414
AAAS,150.683464,98.715603,81.914843,90.517812,111.696387,86.664376,96.616646,86.249611,102.336708,181.75304,105.898134,96.420557,72.071527,86.748516,85.441228,75.522128,83.553813,100.417496
AACS,1.462002,7.592749,8.836134,13.782357,14.650481,23.638044,20.035398,8.765457,17.519107,20.464066,15.127788,36.531693,13.952741,15.698017,34.584804,14.781626,39.147138,16.324428
AADACL2-AS1,1.758506,0,0.317256,0.394176,0,0,0.338354,0,0.990132,0,1.065136,0.628026,0,0,0.677487,1.377444,0,1.28642
AADAT,18.084899,14.809387,24.516927,4.363849,15.734166,12.327966,8.199055,20.932838,10.292365,51.95377,15.705837,7.91,8.055311,14.156859,9.738853,10.831023,13.736758,21.17559
AAED1,8.676249,5.427774,1.641176,4.83229,5.625737,6.283314,25.021723,11.86239,14.204143,42.437886,12.903628,5.221426,5.316346,4.244922,6.076047,9.859553,5.925921,8.643041
AAGAB,33.315476,47.925737,39.310922,59.143121,45.955512,41.237088,38.671028,38.142604,28.18906,35.707344,32.489253,50.896693,50.037226,39.361424,34.193934,23.743064,48.489972,41.62092
AAK1,54.682983,73.101267,51.079946,55.397217,70.692349,62.218193,61.322767,94.631333,78.768978,53.803726,76.065377,38.638525,51.457396,84.487984,46.454784,48.904286,43.238265,64.365045
AAMDC,4.04917,20.83507,13.624997,5.060017,10.71223,17.17655,18.566753,8.342692,11.213547,8.686937,21.982411,21.108804,15.690385,14.555759,9.47198,19.78871,19.546927,7.563219
AAMP,44.92485,29.805211,89.387831,60.125941,67.393254,39.279542,43.004445,47.591697,45.507785,43.667822,48.344982,67.877981,59.952289,119.874026,72.519352,74.500362,76.389528,78.391428
AAR2,15.637313,9.666696,8.633856,12.899993,8.279874,11.21759,6.335231,9.912988,6.002833,8.900073,8.093054,11.11418,10.578704,11.253574,10.620646,7.626791,10.364064,9.396556
AARD,0.495666,0,0.082282,1.935471,0.225184,0.965869,2.124613,0,0.279415,0,0,0.729706,0.526361,0.448821,0.916615,0.450163,5.214646,0.335055
AARS,47.191738,64.79915,97.607744,94.335019,95.521299,67.258551,101.202873,63.741913,82.540104,108.836541,115.77323,113.68967,88.5385,103.682761,96.862945,59.073892,98.309999,137.480284
AARS2,12.358068,3.514304,11.92593,9.17923,10.010311,8.507641,6.677974,6.318779,9.022411,4.725416,7.716976,10.909534,6.969013,6.457496,9.672767,7.158702,6.614179,8.968339
AARSD1,19.67784,23.044032,27.058079,20.844501,43.91572,28.095444,33.833814,17.527367,23.975037,17.146438,16.494399,30.375381,21.586013,21.150217,31.571844,34.903867,31.73445,29.946328
AASDH,71.151517,54.092069,27.430319,36.049378,55.401528,48.872985,87.684641,34.6461,64.691243,26.041706,89.917987,39.848797,9.123856,83.644242,45.22118,51.488301,40.408239,36.57132
AASDHPPT,7.23626,17.950449,27.596071,14.081659,17.275378,13.057226,14.85637,11.574157,13.248043,9.097973,8.034733,12.870544,22.242846,5.902831,11.974972,18.023382,8.275734,17.792261
AASS,90.143149,55.643457,52.344696,35.248806,49.987245,57.565138,68.019067,34.323404,63.924336,42.264198,66.630709,27.635859,15.657269,59.16831,53.0065,124.677574,26.316376,54.092451
AATF,19.170907,20.057086,35.063046,26.074168,23.078263,23.492192,20.285826,23.132224,22.578696,35.898398,32.942823,18.199638,17.389459,15.536309,21.304673,23.621441,20.002178,23.475102
AATK,0.035701,0.630099,0.908268,0.214502,3.151244,0.181313,0,1.042798,0.0311,0.178583,1.223717,0.223228,0.047862,0.718355,0.378164,0.033296,0.650339,4.618775
ABAT,6.158335,12.864478,26.017318,39.771587,21.386526,29.565544,11.34675,6.438258,10.149337,7.321001,23.152715,78.425033,24.604634,22.148267,15.516003,8.542197,28.470758,7.084432
ABBA01017803.1,3.537876,1.22106,1.245085,3.982938,2.614475,3.169604,1.858191,2.85653,5.672916,1.704235,3.673178,1.259928,3.375148,2.113181,1.442412,4.369942,2.450567,1.074797
ABCA1,93.830294,167.812087,51.711627,39.744756,59.022271,42.252083,117.168059,189.34387,69.8898,95.740071,96.580817,26.604344,32.95168,80.737844,40.669606,51.137386,37.709589,67.770027
ABCA10,81.314954,31.70381,35.441733,66.259051,125.227542,87.081774,66.057917,19.760265,72.384392,10.749291,55.268423,23.041041,8.949165,36.266055,49.117569,109.813413,31.003438,68.854481
ABCA11P,36.303638,11.061512,10.626466,29.748167,21.519745,13.961401,20.391324,9.366782,19.048385,13.972857,3.836211,14.552176,7.351857,18.46225,16.379711,24.183008,15.332258,16.958334
ABCA12,0.137289,3.740704,1.593358,3.207138,2.519885,14.207696,14.470805,0.055193,0.585339,2.735154,0.643234,47.772822,16.356856,28.915598,2.963911,2.368752,11.467078,0.206451
ABCA13,2.609913,0.243091,0.2225,0.363873,4.991532,1.323469,2.632511,0.218551,0.652544,0.882687,0.159741,0.329981,2.26552,2.916799,2.171923,1.11468,0.568439,0.16528
ABCA2,37.086208,26.964383,22.599998,57.189052,78.686412,33.030269,24.446872,37.932172,41.573,14.581559,20.904377,67.585332,22.659615,33.851338,62.468179,28.556695,29.562584,29.59016
ABCA3,7.228083,9.170554,16.281864,62.438618,47.575912,25.778341,21.283661,7.392307,14.045565,16.422368,19.213978,58.996155,14.033457,18.287085,16.143491,17.533185,27.769292,14.967267
ABCA4,4.260031,1.79933,3.32238,9.556574,2.417224,7.343166,9.232944,1.095475,4.708804,1.521358,6.956354,4.670997,6.619338,5.375247,3.487848,6.377806,11.371071,10.010767
ABCA5,71.943965,49.630154,46.596355,114.395909,77.918356,67.063102,73.106752,32.906954,79.559394,27.789324,64.269314,35.289167,26.829173,101.400099,51.294754,124.387843,30.796193,40.652126
ABCA6,169.798499,104.983557,56.654435,81.740901,137.934563,129.151126,105.633441,94.891346,75.104783,11.33743,117.410259,27.329052,26.95759,71.610065,58.346222,171.515595,36.621054,73.802853
ABCA7,5.690882,12.926166,7.027038,20.802423,16.501801,5.373477,11.397993,4.886612,6.92884,7.889772,18.615411,14.465032,10.949553,9.492578,8.18455,6.443933,7.410493,10.491792
ABCA8,117.899511,57.951646,70.40074,66.387328,137.222513,89.341697,80.730475,51.296472,105.37037,12.984354,65.525752,26.053549,13.066192,35.734362,75.084369,113.740849,38.417879,118.409347
ABCA9,57.343042,51.21443,23.097478,37.451249,59.224308,42.417671,55.439041,32.866163,31.239882,1.714929,56.650673,15.936007,8.501347,42.829355,36.307385,83.219155,23.08098,27.065063
ABCB1,20.594899,14.154761,55.178068,22.746014,62.702397,28.798033,14.776682,4.689405,12.275718,2.89501,26.172663,21.95228,14.338163,10.534492,45.118047,34.686122,20.822868,19.798411
ABCB10,28.050311,22.328825,11.680117,20.814987,12.920194,22.378102,9.700024,12.801583,25.797214,16.877646,25.330394,7.142373,22.962129,9.658456,9.993694,20.183795,7.946458,24.389059
ABCB10P1,0,1.253956,0.043608,0.058443,0.238519,0.063223,0,0.049383,0.147951,0,0,0,0,0,0.148428,0,0.339615,0.094634
ABCB11,0.993707,0.40913,0.727479,0.12711,0.05181,0.191428,0.056771,0.305764,0.289829,0,0.77375,0.157866,0.352525,0.02586,0.128938,2.186801,0.792162,0.303275
ABCB4,20.658917,4.817879,7.661433,2.543784,7.728036,1.14924,4.367119,4.138273,10.330594,2.599351,34.794418,2.567672,1.591383,34.478589,1.530414,2.240425,15.175398,9.086228
ABCB5,403.020885,201.414433,93.851623,25.666733,53.716607,24.77304,135.079568,40.766986,89.656,661.309231,325.35116,5.222655,74.071437,269.929908,6.619541,44.674061,41.421269,246.348731
ABCB6,13.874966,13.124845,8.077641,11.943722,12.668209,16.30138,14.958805,15.640831,19.776004,26.461568,14.452433,18.789705,10.384011,38.757723,12.40773,9.562319,17.664478,29.60273
ABCB7,51.913533,72.334118,42.495772,35.955911,55.113529,53.479163,64.124159,35.680543,61.257128,60.957229,66.403882,39.440172,46.97436,65.243481,45.258836,49.758335,28.4699,42.88574
ABCB8,5.924629,12.238503,7.528173,18.627557,18.071672,9.342826,11.743582,11.358435,13.047932,18.603809,10.624392,15.131616,6.620595,9.299091,9.412389,8.676059,8.783715,12.648152
ABCB9,2.55935,1.88634,2.314377,7.435918,5.061586,3.112706,2.076674,1.336599,3.993173,2.079639,9.424946,2.75172,4.821384,2.260487,6.426173,2.315163,3.819248,3.674528
ABCC1,55.453334,66.739137,38.779156,38.420182,43.492815,59.441734,62.545344,55.704519,44.887691,84.764537,55.647181,45.205747,28.769975,69.302039,30.246064,41.971318,46.819946,80.956301
ABCC10,20.768291,18.305913,15.928117,16.486564,16.921649,14.534773,9.087957,16.644942,14.223943,7.204271,17.054446,15.699373,11.047727,11.422205,14.646388,9.662371,19.428489,22.120496
ABCC11,0,3.385777,5.387883,5.602714,9.666715,52.924524,6.861351,3.242488,0.345498,47.918604,1.80796,134.78996,43.711835,27.307865,22.665316,2.217447,37.656218,0
ABCC12,0,0,0,0.601766,0.668343,5.583301,0.07752,0.190098,0,1.568529,0.301827,23.894978,13.029173,0.417901,0.886035,0.382846,7.161314,0
ABCC2,3.818526,4.043198,2.763788,6.458029,6.594533,17.876628,10.29676,6.589815,3.43961,5.937353,3.090821,6.005407,21.074591,24.281305,1.192696,2.098709,6.541229,1.574221
ABCC3,23.921045,18.999786,12.80637,39.165007,16.188916,23.071949,15.741472,8.472701,22.563625,1.017677,10.95794,35.458721,34.519717,22.31731,14.616513,18.797985,9.111633,11.406366
ABCC4,8.090653,15.499929,12.074283,4.723113,5.110539,4.564434,8.694392,12.423468,6.257568,0.379491,5.613308,1.654545,14.23883,7.946898,4.544452,4.637284,5.671359,5.508392
ABCC5,80.195629,46.649388,40.8203,24.881158,41.654707,23.811557,48.808237,47.292293,29.418002,27.137246,28.185407,26.625051,16.097014,28.742526,21.209125,19.528642,31.208063,28.942667
ABCC6,10.802303,3.956183,4.114494,1.725733,21.852703,1.58788,6.296693,2.426938,1.374643,3.579227,10.266882,14.329938,10.206051,3.169566,6.983901,4.501716,1.278763,5.580466
ABCC8,1.895763,1.403759,5.186328,5.84791,95.890804,38.225382,4.617323,8.593243,1.897342,27.091749,17.039072,103.170396,11.597923,31.08037,16.792781,5.839905,32.535673,39.853729
ABCC9,39.484768,50.311396,27.848802,25.246742,57.675548,14.734016,46.265449,94.761677,51.899272,51.310424,36.736235,17.089155,31.716616,31.502209,25.622649,42.851984,7.96523,37.694727
ABCD1,17.613822,8.206233,7.785755,15.177422,7.042327,5.657755,8.667478,6.460743,10.704851,25.172092,22.266073,20.967943,10.68661,1.233937,12.176906,5.286686,6.299344,13.718729
ABCD2,1.010837,1.07559,0.270634,0.655476,2.572885,0.625525,1.755727,0.943169,3.126347,0.774521,1.96719,0.209415,0.531632,0.921821,1.857298,2.15616,0.367768,1.099411
ABCD3,95.554091,49.62304,66.154246,65.914724,77.173495,98.326534,150.699548,52.780268,55.446282,58.147905,68.788584,127.607677,107.758115,92.654335,47.430625,45.805463,191.593141,42.685855
ABCD4,40.314129,44.49684,57.668099,29.835719,53.871496,36.802639,70.592448,63.887611,49.802805,44.843506,86.554613,41.983318,31.212606,42.116044,47.531282,58.107105,40.456442,48.768295
ABCE1,70.492679,108.643984,74.471038,69.360408,81.202756,83.748887,107.842485,60.024016,108.151491,113.246623,88.066486,34.448975,108.788937,116.628486,63.729227,93.501941,48.719541,60.88899
ABCF1,56.541877,48.523155,83.198316,50.28107,70.394508,55.473572,35.442998,49.185587,49.894154,55.023228,46.118013,34.089436,54.326746,36.597965,44.247295,45.919694,57.35585,61.882543
ABCF2,20.45294,15.659349,22.853161,22.762123,23.738559,22.523395,15.066147,15.603658,23.360489,20.804248,33.115298,26.265082,20.357942,12.230195,24.725207,21.579625,24.025977,22.655456
ABCF3,35.855758,54.086348,39.65944,54.54478,43.429612,46.67041,46.527307,34.974468,30.998421,101.573924,55.498163,57.069952,38.083751,27.045555,40.346506,51.685808,44.651078,51.150188
ABCG1,8.852983,9.545618,5.756324,19.587443,9.40649,8.463439,9.542144,15.151319,9.789443,4.662158,10.598158,23.297199,9.151124,3.475829,6.214681,4.061546,13.958944,6.236969
ABCG2,13.226237,4.081686,3.809887,2.2011,6.230773,9.909747,4.275667,2.527166,1.308003,15.918375,2.238034,3.586296,1.092801,3.945644,5.173845,3.309537,1.893569,7.534106
ABCG4,0,0.385263,0.798448,0,0.046952,0.166485,0.472632,0.582558,0,0,0,0,0.298267,0,0.043416,0,0.076419,1.539608
ABHD1,0,0.254696,0.947576,0.872063,1.778294,1.00167,2.440278,0.803043,0.204737,0,5.006394,1.195686,0.187729,0,1.410935,0.675772,0,0.994888
ABHD10,22.858867,26.004719,32.330977,20.112604,27.305903,22.628124,30.313392,16.731551,23.438382,26.147362,21.89398,23.716861,21.353565,26.223869,20.035859,18.618582,20.267702,18.55903
ABHD11,4.805938,10.552258,13.702715,54.078047,15.239248,39.541276,20.626512,3.489429,12.42572,4.082426,12.601386,42.542387,36.677599,10.212124,21.058953,13.928975,54.896258,14.644685
ABHD12,72.725989,79.023202,37.942218,54.983714,96.088375,50.243079,64.010638,71.028907,49.511148,77.409496,88.214307,41.279243,45.643583,80.458782,35.987163,34.897394,36.827476,37.779005
ABHD13,4.240258,3.887377,3.181597,3.940252,2.837972,4.21267,4.502458,2.464412,4.360479,5.722262,3.020303,1.546541,2.730125,5.021985,2.717864,2.917202,1.577815,3.279103
ABHD14A,0.35528,1.665951,4.218592,2.875787,3.345251,2.090107,2.900083,3.155301,2.249632,0,1.417858,7.829292,0.410776,1.214505,1.876673,1.573936,0.114828,1.185698
ABHD14A-ACY1,0.779428,0.685831,1.101694,3.444745,2.947624,0.692158,1.438492,1.085569,0,0,5.932366,1.552976,3.489135,0,2.034871,1.912285,3.663231,3.502911
ABHD14B,2.379788,3.213269,4.698713,9.562918,8.152245,4.937808,5.285598,4.318331,7.534695,0,9.062937,9.18806,5.678277,3.175142,7.491007,7.361574,3.244571,4.114462
ABHD15,0.92321,1.690141,1.244498,1.061642,1.117096,1.444653,0.746939,1.011714,1.778278,0.630372,3.219467,1.569376,0.620919,1.288752,1.361147,0.906419,0.994493,1.37172
ABHD16A,7.038907,19.204599,21.337933,22.897271,20.66705,17.514546,17.272412,19.50647,15.766463,44.457339,25.175085,31.922643,19.630532,12.723484,20.229608,17.745072,18.950601,30.260847
ABHD17A,5.561156,19.405623,12.178014,25.022593,21.470344,13.003117,8.340959,21.371281,27.535151,16.570235,17.456214,42.662303,13.342145,12.228679,24.684916,19.442153,12.511252,14.550097
ABHD17AP1,0,1.216667,0.60621,0,0.162342,0.881815,1.064204,1.069731,2.098332,1.823289,0.920677,2.566319,1.356782,1.423053,1.36436,0.44761,0.261169,3.120296
ABHD17B,41.40116,35.880232,24.300495,13.883454,14.681286,13.901613,40.306405,17.184561,19.249724,66.456998,29.225115,7.770846,19.104836,42.056622,11.247706,19.471507,14.891679,35.072479
ABHD17C,3.572683,6.529476,14.901196,9.139755,14.908789,8.276498,3.985146,5.133133,9.96327,0.044509,8.088285,18.287292,9.213521,11.459446,7.624352,3.71333,9.016105,2.15109
ABHD2,29.246337,55.318332,42.806479,39.986405,79.158819,58.706003,39.90173,78.442477,42.125524,12.605438,56.985104,64.657817,29.530564,18.558243,36.550238,43.068693,98.177148,29.370468
ABHD3,15.512454,10.837234,10.223608,9.016744,5.640667,7.028379,16.405132,13.204635,12.300978,24.544484,10.046889,5.13953,6.957141,22.036237,5.33767,10.026754,8.259637,13.495333
ABHD4,11.433003,19.368656,11.419812,16.82629,16.518128,10.884761,15.011079,7.817859,12.075636,66.258005,23.251383,17.445113,15.739552,19.387311,10.95906,10.389587,18.167442,24.218638
ABHD5,128.637456,121.737525,88.432729,153.684698,87.713703,121.614428,75.593093,88.338779,127.217378,133.652149,139.004379,115.026649,157.297929,110.047571,86.891383,213.5704,79.977013,138.507722
ABHD6,4.495216,3.906943,4.379966,2.688258,5.395023,3.111493,3.726641,3.499488,3.71571,0.036072,5.958858,1.715658,2.61266,1.074355,3.082754,3.154044,1.023378,4.290181
ABHD8,0.274976,1.707957,0.685829,1.408361,1.874505,0.662421,1.571863,0.827946,1.627549,1.798862,0.658191,4.717429,0.28989,0.933711,1.710868,1.582603,2.694306,1.908807
ABI1,52.502886,62.697766,44.747999,33.17223,49.329877,41.221769,41.119412,63.500712,39.537957,15.397684,43.783854,38.26486,30.24098,39.561183,46.928052,48.67578,30.180508,36.250897
ABI2,52.279836,30.339831,73.081675,37.065522,61.55305,54.103019,36.307519,30.937871,58.244364,34.162779,32.70116,37.637299,36.815053,61.857949,59.39088,57.761399,31.355239,55.84874
ABI3,1.902441,2.934977,1.229087,1.333832,3.460053,1.430932,0.781387,2.481019,3.089767,0.128636,1.203621,1.611597,1.131332,0.378148,2.053255,1.731843,1.28939,4.171149
ABI3BP,824.992429,622.610079,356.204188,245.386786,379.595403,388.199882,519.326991,1305.478185,500.421023,1020.610324,641.872087,183.646641,197.355501,644.483843,375.211713,528.622817,136.205528,699.56185
ABL1,18.237774,19.961942,23.931958,26.370768,24.702216,36.600153,18.572181,46.763534,22.123831,10.211594,28.716935,24.76468,15.590953,12.333353,42.051659,33.130955,15.945052,35.273697
ABL2,29.078869,75.289649,16.465504,28.436899,25.599061,30.014179,13.081463,219.17016,39.101578,21.326315,58.65974,18.053051,27.800847,16.343217,26.391785,44.94824,22.58104,43.253936
ABLIM1,57.881466,48.172307,63.788014,66.814177,76.079659,85.213825,45.045566,49.779587,67.668004,46.601386,72.795536,71.987184,68.079408,39.023461,73.539368,137.172985,36.074062,77.951553
ABLIM2,0.271782,2.484269,4.117056,3.15967,4.829038,3.192666,1.134329,5.144031,1.784038,2.735988,2.853626,1.907383,2.65136,0.120441,2.661018,5.189193,3.778797,4.96934
ABLIM3,41.475551,37.262139,22.02165,17.033459,52.253753,44.900299,26.57751,30.068756,25.218614,42.222781,50.874402,61.187767,20.454414,20.292491,38.75476,63.40101,42.146011,34.016015
ABO,0.86308,0.101692,7.896664,2.02682,1.286528,0.714007,0.243148,0,5.553543,0.249573,0.977835,1.347237,0.770905,0.241249,3.287689,1.025006,2.848819,7.421608
ABR,212.337707,161.246937,87.382375,85.066817,118.211098,98.975754,83.315399,122.85597,97.43261,154.723436,81.800293,102.554374,40.502052,117.460901,69.801017,70.305497,38.99481,144.80697
ABRACL,8.900582,11.084026,7.149667,8.350016,8.799861,8.223489,6.78201,12.438007,4.327005,16.867428,3.606152,5.794838,14.119516,9.314707,4.795269,5.561326,10.300085,7.190346
ABT1,0.379241,0.996279,1.662444,1.392942,1.506417,0.776193,1.570686,0.677173,0.90863,1.007806,2.872575,2.460266,1.198206,0.429246,1.71398,1.433237,1.506203,1.161507
ABTB1,7.381174,9.283883,19.266945,11.445398,16.652493,9.731847,7.201113,9.652724,9.826481,11.713339,7.421555,13.55914,4.779141,8.898331,15.338186,17.646944,21.333147,13.162435
ABTB2,1.259882,1.831341,1.573997,0.643182,0.731008,1.204017,1.523207,0.751368,1.065453,3.471512,1.151515,1.401688,1.598535,1.45954,1.317367,1.27493,1.374859,1.921234
AC000041.8,0,462.653158,0,103.402093,284.377728,93.768477,0,0,0,1168.613816,0,93.006996,114.965036,0,91.572993,49.545418,77.95822,90.20067
AC000089.3,0.564865,3.042485,0.583665,2.080563,1.357758,3.480907,0.972937,5.465626,0.238689,2.741354,0.509402,1.930835,0.449704,2.110043,1.932744,2.079956,4.875977,1.614384
AC000095.9,0,0,1.168326,1.860474,0.866558,0.183079,0,1.005345,1.49477,0,5.464274,0,1.071608,1.715935,0.28779,0,0.281525,0.755079
AC000120.7,0.124289,0.454251,0.699445,0.595571,0.609809,0.282571,0.655957,0.140532,0.360708,0.056849,0.394869,0.142774,0.131184,1.594597,0.558764,0.629722,0.344984,0.235521
AC000123.2,0.474383,0.548873,0.378456,0.58466,0.868796,0.658705,0.781245,0.596036,0.771491,0.199137,0.348911,0.340347,0.249562,0.842562,0.350058,0.611214,0.222282,0.581379
AC000123.3,1.251962,0,0,1.263579,0.43585,1.826076,0.543425,0.72332,1.057304,0,0,0,1.009305,0,0.362378,1.474949,0.352486,0.515764
AC002044.1,0,0.318499,0,0.742392,0.760118,0.803509,0.572478,0.881759,0,0,0.133202,0,0.117509,0.150695,0.126206,0.101709,0.37054,0.240926
AC002044.3,1.460171,0,0.260276,0.980568,0.337003,0.354105,0.421174,0.838525,0.411151,0,0,0,0,0.661248,0.560113,0.681592,0.27299,0.665696
AC002056.3,4.234358,0.434503,1.5684,1.620829,0,3.290224,2.345379,1.550688,0,10.218676,1.637351,0.159248,1.4458,0,1.553642,0.139403,3.374931,4.855178
AC002116.7,0,0,3.189264,3.30507,3.659373,4.405243,0,0.216711,3.523874,0,1.370982,2.206225,2.221377,0.257531,1.085628,1.932433,0.212002,0.51693
AC002117.1,0.900795,0,0.239566,1.434204,0,0.654938,0.778813,0.774704,1.198556,0,0,0,0,1.529703,1.034944,0.83887,0.252351,0.39069
AC002365.5,6.236849,0,1.31682,0.719509,0.589249,0.622978,0.924657,0.366174,0.908938,0,0.516344,0.788471,0.79708,2.336996,0.489163,0.591223,0.95755,0
AC002366.3,0.69389,0.124437,0.263524,0,0.711792,0.125539,0,0.589666,0.73324,0,0.832127,0,0.09171,0.353439,0.39386,0.237774,0,0
AC002398.11,0.685796,0.409687,0,0.229141,0.249728,0.082635,2.64755,0.258363,0,1.462864,0.273742,0,0.060298,0,0.064713,0.416112,0.063433,2.258094
AC002398.12,1.480178,0,0.38359,0,1.259804,0.265483,1.8932,0,0,2.379414,0,0,0.194671,2.5174,0.631138,0.338552,1.430734,0.099673
AC003006.7,15.024253,2.365279,9.428591,6.80698,10.205389,8.815442,10.978526,0,0,0,0,4.690658,0,7.390018,4.17319,9.847478,1.926084,0
AC003080.4,1.793022,0,0.154862,0.800685,1.232185,0.433424,1.544758,3.404231,0.505086,0,0.179736,0,0.158702,0.405933,0.85269,0.275404,0,0.975583
AC003104.1,0.133084,0.667962,0.267562,0.533727,0.181738,0.577476,0.685332,0.376332,0.450068,0,0.159439,0.208076,0.210767,0.723054,0.754093,0.121278,0.073897,0.216214
AC003973.3,0.066247,0.189861,0.230256,0.132727,0.406045,0.382856,0.170312,0.298879,0.224077,0,0,0.206326,0.034888,0.269936,0,0.420695,0.477308,0.250658
AC004057.1,24.688222,78.902551,113.339588,125.641583,105.884854,97.756277,90.295934,12.455618,56.681826,80.710305,68.587004,183.90971,77.725291,0,127.706765,72.496503,80.718032,67.685895
AC004069.2,0,1.370505,0,0.319694,0,0.346333,0,1.366488,0,1.783374,0,0.253373,0.254503,0.646852,0.547664,0.222091,0.26697,0
AC004076.5,0.111363,0,0.165568,0,0.113715,0.241304,0.047705,0.156937,0.141259,0.076061,0,0.144425,0.029313,0.264697,0.188679,0.075718,0,0.015044
AC004076.9,0,4.12118,6.300351,11.438831,3.021064,4.378254,1.393354,0,1.6755,13.497611,9.176941,2.560597,0,2.75384,0,0,5.299035,2.40115
AC004158.1,2.708553,4.567621,3.486796,3.050362,5.426554,4.632164,5.520098,3.166242,1.525112,1.299216,0,0.984466,0.979753,0,1.586379,2.664521,3.585708,1.998903
AC004381.6,6.424737,15.562487,11.62577,11.176246,9.064183,12.034041,4.222055,4.260418,12.155716,15.848741,9.838848,8.697976,20.880032,10.373955,9.110385,8.60638,10.232951,12.817389
AC004383.3,3.193747,1.161233,0.884487,2.178643,0,1.183412,0,2.860138,0,4.697503,0.984992,0,4.404863,3.255153,0,0.79169,1.838887,4.043973
AC004453.8,2.316059,31.757534,2.54298,14.156663,23.809016,9.408959,28.259682,10.345042,29.253174,1.839843,10.693843,16.077632,6.865537,6.066266,11.022092,14.825358,7.866319,14.000504
AC004813.1,0,60.684102,3.98491,4.270506,2.542572,1.323475,5.520098,0.527707,12.2009,28.149671,14.870982,5.414566,0,4.90636,4.759136,3.032568,3.585844,0.249863
AC004893.11,0,0.194799,0.777282,3.858322,4.522069,1.877102,0.139773,2.143738,10.413829,0.074281,2.305792,1.03087,1.221712,2.0077,2.873264,2.753567,3.537138,0.500725
AC004951.6,136.976359,99.745623,79.486257,103.595503,130.463011,85.801476,135.386973,87.69523,104.841204,119.537721,115.124692,61.321191,54.381202,117.285064,70.171465,98.511319,71.790133,139.722562
AC004980.7,11.176513,6.786609,10.51481,23.265453,12.252195,12.029646,14.479479,14.760706,15.557222,8.024628,6.466213,10.974252,4.635587,16.520808,8.932661,9.155385,8.493674,17.968081
AC004985.12,0,0,0,0.473454,0.605246,0.640433,0,0.100282,0.598457,0,1.37969,0.462407,0.561467,0,0.602837,0.485286,0.098394,0.527801
AC004987.9,0,1.68814,1.835748,0.968516,0.495298,0.786069,2.021874,0.205165,3.519435,0,0.325671,0.662269,0.095722,0.737604,0.719447,0.413725,2.918726,2.208595
AC005042.2,0,0,0.292329,0.189449,0.194283,0,0,0.483051,0.239075,0.784535,1.360618,0.74385,0,0,0.161326,0.130212,0.157743,0.153849
AC005062.2,0.843213,4.395882,0.330157,1.317589,0.314689,0.53467,0.695103,0.521951,0.263331,0.649498,1.234176,0.917647,0.325199,3.408878,0.45068,0.594593,1.343688,0.360609
AC005077.12,0,0,0,0.316147,0,0.227995,0.338103,0,0,0,0.283144,0.163916,0.083126,0.214289,0.17838,0.286502,0.131208,0.149291
AC005077.14,0.105582,0.037818,0.078446,0.352498,0.071867,0.228767,0,0,0,0,0.536527,0.766662,0.138942,0,0.357724,0.16747,0.175483,0.099834
AC005154.6,5.660408,11.011332,4.691704,9.571495,17.726215,17.163383,10.193698,15.065192,12.154769,7.353065,12.567538,5.886165,6.466022,7.645897,6.703894,22.05009,8.176247,8.215621
AC005154.7,50.106946,55.725568,29.237235,42.534465,77.416208,52.103948,68.728472,49.287118,66.574159,79.329044,84.006727,28.908814,31.65588,118.465686,44.317856,73.714385,48.682202,59.967622
AC005189.6,2.695694,0,0.747055,0.916663,2.892317,2.986243,0,4.798835,6.841769,0,14.91168,2.990607,0,4.577742,0,0,3.863083,0.754433
AC005306.3,3.664173,0,3.033783,12.324548,9.348908,6.233601,0,5.641592,1.031523,24.510368,19.282363,9.675052,3.280367,0.247859,4.434087,3.331276,3.437297,4.10068
AC005329.7,0.449241,0.11091,0.025557,0,0.140504,0.18636,0,0,0.130924,0.258415,0.246814,0.133825,0.162984,0.105141,0,0.023386,0.057181,0.487961
