,BOB12371,BOB12540,BOB16124,BOB17103,BOB17481,BOB18762,BOB20101,BOB20533,BOB20722,BOB21170,BOB21321,BOB21695,BOB23664,BOB23984,BOB25183,BOB26804,BOB27302,BOB28258
NFIA,75.593242,55.957262,61.698112,75.97674,146.369293,149.055757,78.306375,64.527769,84.006852,57.315129,119.263629,105.718071,112.34362,110.352532,160.865146,163.462821,52.040171,91.030189
NFIB,145.970273,151.357489,122.026216,212.636823,343.820125,294.01341,182.046049,159.889026,282.880848,73.166531,179.634921,170.328641,147.487755,248.249627,343.534573,447.836588,135.162213,265.916545
NFIC,56.771288,64.83602,54.413338,70.204057,84.339595,83.455276,42.651892,67.680102,51.243076,69.853824,92.487077,166.032574,59.654719,54.244763,123.870207,82.190345,63.175512,105.543387
NFIL3,22.055875,23.908418,17.970874,10.437006,13.156128,31.747023,14.735605,61.066399,14.220174,29.319245,39.705401,3.86991,12.885669,23.653732,14.346812,61.968162,12.436643,26.147454
NFIX,120.6253,85.4267,86.856099,83.349889,196.68824,117.361902,93.937334,109.889594,145.788555,155.899229,216.543959,210.095902,72.774825,73.272636,222.975081,129.864124,79.403671,277.912771
NFKB1,43.9937,69.682557,46.001315,41.652809,40.418813,67.719379,27.360818,50.459337,66.801873,37.939266,45.961311,36.91222,35.046884,45.809996,29.569535,44.875416,23.796344,44.029576
NFKB2,14.497667,15.948488,15.659545,12.099937,10.271351,12.590505,14.279984,16.413623,18.726253,14.555781,16.133622,9.21191,9.277012,13.43979,8.144395,12.553947,12.149061,14.611953
NFKBIA,188.490088,212.083523,156.176917,167.762408,197.952353,288.905178,100.89497,447.226424,160.465521,107.313371,316.537191,184.053211,142.943442,75.44912,313.581857,395.983803,120.513634,287.902721
NFKBIB,0.376107,1.106456,0.340324,2.147939,2.206885,1.085338,1.105048,2.619237,1.691773,0.126584,2.272378,3.847707,4.066763,0.067983,3.680045,2.951018,2.393639,2.150341
NFKBID,3.309445,6.896576,1.98803,6.274794,7.125058,3.215775,13.031641,12.239798,9.087781,4.234393,6.628788,5.447333,3.114423,4.335938,3.844967,8.39137,3.961522,5.483638
NFKBIE,0.187242,2.220228,3.63543,1.792397,2.256202,1.6239,0.908627,2.523397,2.987023,0,1.120525,2.806366,2.382625,3.459015,2.331362,1.591914,1.672661,5.224612
NFKBIL1,1.424027,4.900662,11.298166,2.869554,6.863794,3.587273,5.147052,1.826252,2.546887,3.481941,7.62498,10.878779,3.106219,1.941875,5.700454,2.637044,4.296843,8.868084
NFKBIZ,96.574426,113.795553,55.58643,255.813609,123.908024,117.642607,227.91327,314.106358,163.885293,123.248671,192.877512,47.180956,26.558198,213.650554,66.834515,390.717185,174.874213,130.384129
NFRKB,14.624422,18.630921,22.122244,12.556588,21.017804,20.582039,20.48274,10.500252,19.722122,19.470687,25.609435,19.659904,11.696295,15.212136,19.398054,20.731414,11.058407,28.009227
NFS1,20.183042,10.51526,5.786817,15.569204,13.393115,9.973576,9.794361,7.898566,7.97762,18.451767,13.377117,12.786425,10.829878,9.923017,8.366882,13.114011,13.177178,4.517136
NFU1,84.625725,42.927631,43.249227,23.777329,46.635026,36.705041,75.745812,55.48578,28.836304,125.866209,30.316727,24.736938,33.844765,76.304211,28.196252,36.532756,51.545896,44.324735
NFX1,40.742403,60.785713,47.32103,49.702933,69.888986,46.98498,62.254865,46.670456,53.505042,33.782306,55.312542,53.186346,24.165966,74.736017,44.03749,63.664538,43.814454,40.516275
NFXL1,18.623907,15.362702,19.150049,22.969328,21.655032,25.265925,23.199491,15.032923,20.382975,9.616629,16.539605,13.542076,24.170648,23.413741,18.108167,22.185187,16.921075,12.864984
NFYA,20.883857,18.420888,32.687855,20.238718,16.367662,23.588733,14.272631,8.785788,20.262827,25.704627,18.82523,18.693938,17.828657,19.961494,18.351788,17.341312,21.679078,13.263215
NFYB,41.132378,39.398488,28.79021,25.511329,36.692038,38.179547,25.2074,34.944522,19.14979,26.121279,43.790762,17.06477,20.454326,42.791605,30.407813,37.298829,28.318323,30.579466
NFYC,83.300098,74.248606,74.680925,67.519433,92.792364,109.564518,54.133368,60.569748,79.748563,36.74388,40.291999,50.070042,63.237028,74.248234,66.73008,76.924396,49.526622,77.109313
NFYC-AS1,0.697186,0.3332,0.116446,0.310603,0.634296,0,0.598142,0.131338,0.19649,0.106239,0.069575,0,0.367824,0.315652,0.19738,0.052885,0.06449,0.062896
NGDN,14.723363,16.512874,23.133854,20.933167,19.525958,26.70734,15.685216,20.080583,27.791938,32.508024,24.377185,15.763528,16.742043,34.661545,19.715123,29.302866,18.746598,22.515237
NGEF,0,1.492955,0.714688,0.277618,3.420776,2.341473,0.213776,1.172744,0,4.83417,0,0.259142,0.723451,0.285469,0.495094,1.17072,0.351464,1.326043
NGF,2.627826,0,2.058069,1.217088,3.183002,1.024482,0.868835,3.439791,2.733919,1.858671,1.698075,1.057876,0.855813,0,3.676124,0.555213,2.361663,0.329049
NGFR,0.378446,1.200655,4.015608,2.474679,4.328087,5.347899,1.0937,5.384842,1.929378,0,3.295796,8.461045,2.233495,0.257007,5.139448,3.367565,0.940645,4.970346
NGFRAP1,41.943918,35.93413,74.527094,20.696989,59.768147,53.906437,41.513884,38.746469,29.359754,11.103415,26.458636,48.854662,24.655067,55.377501,57.075844,33.92093,26.779125,33.511153
NGLY1,29.325648,24.34019,24.266302,36.831799,29.282622,31.445627,25.999025,56.825878,49.285581,14.845921,22.53852,35.267649,29.098071,44.590854,37.285245,42.08659,30.862708,29.936893
NGRN,24.61688,17.15075,19.107387,22.777219,18.594411,17.321134,15.405001,15.45452,14.18991,24.944396,16.805875,21.719327,17.258628,29.462472,16.94367,15.308328,17.294675,20.351048
NHEJ1,14.168065,14.88896,30.027513,22.792037,29.77494,14.454262,9.940843,19.090386,20.716544,5.409363,35.760504,24.457767,15.980814,19.850993,18.596699,25.611887,26.69194,33.241525
NHLRC1,0.869086,0.997482,1.760433,3.02228,1.901909,2.012622,9.257955,1.575592,2.05715,0.95715,6.357634,4.17725,4.594674,4.485789,2.861205,1.270676,7.536794,3.298357
NHLRC2,29.505945,26.952177,64.467287,32.33249,27.625736,27.581149,36.642178,21.349873,14.14046,21.751973,35.02634,29.846132,22.267622,51.062463,31.556923,33.245031,26.285149,19.710779
NHLRC3,34.17659,58.633271,18.550605,32.897421,38.440569,23.996461,48.400956,32.177547,18.512356,56.986874,31.397907,15.923546,35.65808,57.665913,14.968871,22.951381,11.980021,24.741169
NHLRC4,0,0.398112,0.138569,0,0.252457,0.200728,0,0,0,0.887403,0.110804,0.048133,0,0,0.314208,0,0.102697,0.325516
NHP2,64.390324,52.443471,133.170838,111.28647,96.739967,108.508467,68.897436,65.566594,95.862545,47.668126,63.459972,105.807255,86.600626,29.944347,85.981805,78.582161,68.530382,81.183459
NHP2L1,15.28353,27.708564,46.838262,41.61378,50.957319,53.827817,12.960258,29.866559,35.463727,11.217233,19.912682,58.360641,44.001477,13.138511,56.372242,48.421314,35.166359,45.972105
NHS,9.720612,8.32009,8.277004,5.536569,9.941256,9.468101,7.672912,7.282997,9.237144,1.264506,4.93508,3.031695,1.488668,9.797786,8.502448,12.359049,4.9329,7.408371
NHSL1,38.637593,66.571917,68.759736,18.042513,15.608754,29.829665,4.975455,41.915345,16.554011,32.80058,13.656227,18.958602,5.374095,20.773595,23.366495,27.688399,9.455336,37.454185
NHSL2,13.675558,14.705119,9.6426,9.116657,14.837452,9.540195,10.438241,19.970033,14.192867,6.757324,8.979241,7.52127,6.001489,12.054907,7.7671,9.200744,4.143952,14.052997
NICN1,17.334245,9.844102,17.912633,17.090027,22.052572,19.033533,21.792202,12.307676,17.508729,9.963086,44.461571,31.145183,8.3633,23.102983,15.315821,30.069935,11.197472,13.142545
NID1,29.766156,33.395069,22.90136,30.98651,31.967106,76.628047,24.831146,39.070128,22.682158,15.210663,34.559835,19.593463,15.040834,16.786025,96.889934,57.403466,16.739168,40.914519
NID2,49.392033,61.077181,49.608386,19.613041,76.065349,39.997919,88.867408,173.695662,61.549407,31.216135,33.402852,34.229778,23.880695,39.51788,65.59785,39.775232,13.415241,46.173779
NIF3L1,32.056808,8.849869,15.151992,16.110369,23.988891,18.506654,17.439036,9.102019,11.86798,7.628436,7.832443,17.258833,21.40184,12.172433,16.26233,9.707251,19.611819,9.216482
NIFK,83.035875,57.407601,88.212106,46.10716,37.820765,82.127741,33.185656,51.248128,105.717441,146.69691,74.080057,35.551656,60.035622,124.883123,72.27243,60.352435,44.47983,63.465174
NIFK-AS1,0.71143,0.125435,0.664465,0.350821,0.478349,0.126546,0.901327,0.198139,0.14782,0,0.192147,0.106285,0.462241,0.593776,0.501584,1.03869,0.097208,0.110195
NIM1K,0.820684,0.882168,0,0.992089,0.260127,0.118603,0.272782,0.416821,0.485765,0,0.736481,0.042641,0,0.220281,0.25178,0.086623,0,1.420155
NIN,100.674323,129.34199,78.194803,67.77417,81.063706,92.431922,79.705112,104.683663,83.508464,103.808484,58.183855,44.132758,44.614953,75.93533,77.629569,61.602336,61.327544,92.524844
